discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.985,0.001,0.0001,256,128,1.1,20.0048
0.985,0.001,0.0001,256,128,1.15,19.477866666666664
0.985,0.001,0.0001,256,256,1.05,22.1208
0.985,0.001,0.0001,256,256,1.1,17.656266666666664
0.985,0.001,0.0001,256,256,1.15,23.677866666666667
0.985,0.0001,0.01,64,64,1.05,25.811199999999996
0.985,0.0001,0.01,64,64,1.1,24.337333333333333
0.985,0.0001,0.01,64,64,1.15,26.731466666666666
0.985,0.0001,0.01,64,128,1.05,25.21173333333333
0.985,0.0001,0.01,64,128,1.1,23.3168
0.985,0.0001,0.01,64,128,1.15,24.441866666666666
0.985,0.0001,0.01,64,256,1.05,25.735200000000003
0.985,0.0001,0.01,64,256,1.1,24.798933333333334
0.985,0.0001,0.01,64,256,1.15,24.077066666666667
0.985,0.0001,0.01,128,64,1.05,24.946133333333336
0.985,0.0001,0.01,128,64,1.1,24.2464
0.985,0.0001,0.01,128,64,1.15,22.84026666666667
0.985,0.0001,0.01,128,128,1.05,24.218666666666667
0.985,0.0001,0.01,128,128,1.1,24.06026666666667
0.985,0.0001,0.01,128,128,1.15,25.343466666666664
0.985,0.0001,0.01,128,256,1.05,20.422133333333335
0.985,0.0001,0.01,128,256,1.1,23.881866666666664
0.985,0.0001,0.01,128,256,1.15,23.466933333333337
0.985,0.0001,0.01,256,64,1.05,19.2936
0.985,0.0001,0.01,256,64,1.1,19.640800000000002
0.985,0.0001,0.01,256,64,1.15,19.118933333333338
0.985,0.0001,0.01,256,128,1.05,22.8784
0.985,0.0001,0.01,256,128,1.1,20.29866666666667
0.985,0.0001,0.01,256,128,1.15,17.653066666666668
0.985,0.0001,0.01,256,256,1.05,21.4072
0.985,0.0001,0.01,256,256,1.1,19.641866666666665
0.985,0.0001,0.01,256,256,1.15,18.885333333333335
0.985,0.0001,0.001,64,64,1.05,24.674133333333334
0.985,0.0001,0.001,64,64,1.1,22.751466666666666
0.985,0.0001,0.001,64,64,1.15,25.985333333333337
0.985,0.0001,0.001,64,128,1.05,25.768266666666666
0.985,0.0001,0.001,64,128,1.1,23.575466666666667
0.985,0.0001,0.001,64,128,1.15,25.1656
0.985,0.0001,0.001,64,256,1.05,26.506666666666668
0.985,0.0001,0.001,64,256,1.1,25.284266666666667
0.985,0.0001,0.001,64,256,1.15,25.982666666666667
0.985,0.0001,0.001,128,64,1.05,23.7184
0.985,0.0001,0.001,128,64,1.1,25.750400000000003
0.985,0.0001,0.001,128,64,1.15,22.121066666666664
0.985,0.0001,0.001,128,128,1.05,22.940266666666666
0.985,0.0001,0.001,128,128,1.1,24.587466666666664
0.985,0.0001,0.001,128,128,1.15,25.135199999999998
0.985,0.0001,0.001,128,256,1.05,23.665866666666666
0.985,0.0001,0.001,128,256,1.1,23.636
0.985,0.0001,0.001,128,256,1.15,25.791200000000003
0.985,0.0001,0.001,256,64,1.05,22.519199999999998
0.985,0.0001,0.001,256,64,1.1,21.4728
0.985,0.0001,0.001,256,64,1.15,23.212533333333333
0.985,0.0001,0.001,256,128,1.05,20.09626666666667
0.985,0.0001,0.001,256,128,1.1,22.038933333333336
0.985,0.0001,0.001,256,128,1.15,22.1064
0.985,0.0001,0.001,256,256,1.05,24.002933333333335
0.985,0.0001,0.001,256,256,1.1,21.770400000000002
0.985,0.0001,0.001,256,256,1.15,21.7872
0.985,0.0001,0.0001,64,64,1.05,25.711466666666674
0.985,0.0001,0.0001,64,64,1.1,25.0168
0.985,0.0001,0.0001,64,64,1.15,26.766400000000004
0.985,0.0001,0.0001,64,128,1.05,26.842133333333333
0.985,0.0001,0.0001,64,128,1.1,25.37813333333333
0.985,0.0001,0.0001,64,128,1.15,25.438933333333335
0.985,0.0001,0.0001,64,256,1.05,23.998933333333333
0.985,0.0001,0.0001,64,256,1.1,23.633866666666666
0.985,0.0001,0.0001,64,256,1.15,26.560000000000002
0.985,0.0001,0.0001,128,64,1.05,19.438666666666666
0.985,0.0001,0.0001,128,64,1.1,25.765066666666666
0.985,0.0001,0.0001,128,64,1.15,26.2352
0.985,0.0001,0.0001,128,128,1.05,23.725599999999996
0.985,0.0001,0.0001,128,128,1.1,25.976266666666668
0.985,0.0001,0.0001,128,128,1.15,24.528533333333336
0.985,0.0001,0.0001,128,256,1.05,21.306133333333335
0.985,0.0001,0.0001,128,256,1.1,21.321066666666667
0.985,0.0001,0.0001,128,256,1.15,25.84613333333333
0.985,0.0001,0.0001,256,64,1.05,23.33706666666667
0.985,0.0001,0.0001,256,64,1.1,25.573600000000003
0.985,0.0001,0.0001,256,64,1.15,22.385866666666665
0.985,0.0001,0.0001,256,128,1.05,24.82293333333333
0.985,0.0001,0.0001,256,128,1.1,21.811466666666668
0.985,0.0001,0.0001,256,128,1.15,20.589066666666668
0.985,0.0001,0.0001,256,256,1.05,24.196533333333335
